tconst,title,actor,actress,director,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0097365,Flesh Gordon Meets the Cosmic Cheerleaders,,,,1990.0,102.0,"Comedy,Sci-Fi",3.7,1665
tt0097394,The Fortune Code,,,,1990.0,89.0,"Action,Comedy",6.0,203
tt0097399,Fuflo,,,,1990.0,94.0,"Crime,Romance",5.2,8
tt0097405,Fathers' Day,,,,1990.0,83.0,"Comedy,Family,Romance",4.6,119
tt0097416,Kadhalan,,,,1994.0,168.0,"Action,Drama,Romance",7.1,2084
tt0097475,A halálraítélt,,,,1990.0,91.0,Drama,7.1,28
tt0097479,"Hard Days, Hard Nights",,,,1990.0,103.0,inconnus,5.8,21
tt0097505,High Finance Woman,,,,1990.0,100.0,"Drama,Romance",4.1,145
tt0097506,High Score,,,,1990.0,93.0,Action,5.8,71
tt0097516,Hollywood Boulevard II,,,,1990.0,82.0,Comedy,5.3,114
tt0097519,The Neon Man,,,,1991.0,100.0,Drama,5.7,11
tt0097525,Hopnick,,,,1990.0,60.0,Comedy,5.6,37
tt0097535,Hu dan nu er hong,,,,1990.0,92.0,"Action,Drama",6.5,27
tt0097542,The Trace of Lynx,,,,1990.0,83.0,Action,5.4,13
tt0097550,I Bought a Vampire Motorcycle,,,,1990.0,101.0,"Comedy,Crime,Fantasy",5.5,1421
tt0097571,In Fading Light,,,,1990.0,103.0,Drama,7.6,25
tt0097573,In the Cold of the Night,,,,1990.0,112.0,"Drama,Mystery,Thriller",4.6,1738
tt0097578,"Inimene, keda polnud",,,,1990.0,84.0,"Drama,History,War",6.7,66
tt0097585,Bathroom Intimacy,,,,1991.0,78.0,Drama,6.7,100
tt0097615,Je t'ai dans la peau,,,,1990.0,120.0,Drama,6.9,14
tt0097619,"The Fun, the Luck & the Tycoon",,,,1990.0,90.0,"Comedy,Romance",6.2,298
tt0097631,Hitz,,,,1992.0,85.0,"Crime,Drama,Music",4.2,158
tt0097638,Happy Ghost 4,,,,1990.0,88.0,"Comedy,Fantasy,Horror",6.1,207
tt0097644,"Kapital, czyli jak zrobic pieniadze w Polsce",,,,1990.0,105.0,Comedy,5.8,75
tt0097655,Keaton's Cop,,,,1990.0,100.0,Crime,4.2,249
tt0097666,Killer!,,,,1990.0,80.0,Horror,6.1,84
tt0097668,King of the Wind,,,,1990.0,103.0,Adventure,6.4,210
tt0097683,Kramarz,,,,1990.0,90.0,"Biography,Drama",6.3,66
tt0097697,Könnyü vér,,,,1990.0,86.0,Drama,6.0,37
tt0097720,Border Shootout,,,,1990.0,110.0,Western,3.7,163
tt0097726,Legion of Iron,,,,1990.0,90.0,"Action,Horror,Sci-Fi",4.0,187
tt0097738,The Legend of the Mask,,,,1990.0,95.0,"Action,Crime,Drama",5.9,70
tt0097743,The Anna Akhmatova File,,,,1990.0,65.0,Documentary,6.1,32
tt0097765,A Summer to Remember,,,,1990.0,105.0,Mystery,6.4,52
tt0097767,Loading Ludwig,,,,2022.0,65.0,inconnus,7.0,6
tt0097769,The Local Stigmatic,Al Pacino,,,1990.0,56.0,Drama,5.6,1641
tt0097775,The Master,,,,1992.0,92.0,"Action,Comedy,Crime",5.7,2925
tt0097820,Maman,,,,1990.0,85.0,inconnus,4.4,26
tt0097833,March Caresses,,,,1990.0,89.0,Drama,6.6,114
